route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
9,000011,88____:049::8895505:8895802:10:1159:20220327,Denderleeuw,11021,,170,,1
3,000003,88____:049::8895208:8892007:10:1232:20220313,Gand-Saint-Pierre,11022,,171,,1
3,000014,88____:049::8895208:8892007:10:932:20220320,Gand-Saint-Pierre,11022,,172,,1
11,000006,88____:049::8896008:8896388:2:726:20220408,Bissegem,11022,,173,,1
17,000026,88____:049::8894508:8821006:8:129:20220307,Anvers-Central,11022,,174,,1
9,000011,88____:049::8895505:8895802:10:1259:20220327,Denderleeuw,11022,,175,,1
18,000027,88____:049::8894201:8892007:5:106:20220226,Gand-Saint-Pierre,11023,,176,,1
3,000003,88____:049::8895208:8892007:10:1332:20220313,Gand-Saint-Pierre,11023,,177,,1
3,000014,88____:049::8895208:8892007:10:1032:20220320,Gand-Saint-Pierre,11023,,178,,1
11,000006,88____:049::8896008:8896388:2:826:20220408,Bissegem,11023,,179,,1
9,000011,88____:049::8895505:8895802:10:1359:20220327,Denderleeuw,11023,,180,,1
3,000003,88____:049::8895208:8892007:10:1432:20220313,Gand-Saint-Pierre,11024,,181,,1
3,000014,88____:049::8895208:8892007:10:1132:20220320,Gand-Saint-Pierre,11024,,182,,1
11,000006,88____:049::8896008:8896388:2:926:20220408,Bissegem,11024,,183,,1
9,000011,88____:049::8895505:8895802:10:1459:20220327,Denderleeuw,11024,,184,,1
3,000003,88____:049::8895208:8892007:10:1532:20220313,Gand-Saint-Pierre,11025,,185,,1
3,000014,88____:049::8895208:8892007:10:1232:20220320,Gand-Saint-Pierre,11025,,186,,1
11,000006,88____:049::8896008:8896388:2:1026:20220408,Bissegem,11025,,187,,1
9,000011,88____:049::8895505:8895802:10:1559:20220327,Denderleeuw,11025,,188,,1
3,000003,88____:049::8895208:8892007:10:1632:20220313,Gand-Saint-Pierre,11026,,189,,1
3,000014,88____:049::8895208:8892007:10:1332:20220320,Gand-Saint-Pierre,11026,,190,,1
11,000006,88____:049::8896008:8896388:2:1126:20220408,Bissegem,11026,,191,,1
9,000011,88____:049::8895505:8895802:10:1659:20220327,Denderleeuw,11026,,192,,1
1,000016,88____:049::8896735:8896305:5:524:20220227,Menin,11027,,193,,1
2,000021,88____:049::8892205:8892338:6:830:20220220,La Panne,11027,,194,,1
14,000018,88____:049::8895802:8895000:3:644:20220306,Alost,11027,,195,,1
3,000003,88____:049::8895208:8892007:10:1732:20220313,Gand-Saint-Pierre,11027,,196,,1
3,000014,88____:049::8895208:8892007:10:1432:20220320,Gand-Saint-Pierre,11027,,197,,1
11,000006,88____:049::8896008:8896388:2:1226:20220408,Bissegem,11027,,198,,1
9,000011,88____:049::8895505:8895802:10:1759:20220327,Denderleeuw,11027,,199,,1
1,000016,88____:049::8896735:8896305:5:624:20220227,Menin,11028,,200,,1
2,000021,88____:049::8892205:8892338:6:930:20220220,La Panne,11028,,201,,1
14,000018,88____:049::8895802:8895000:3:744:20220306,Alost,11028,,202,,1
3,000003,88____:049::8895208:8892007:10:1832:20220313,Gand-Saint-Pierre,11028,,203,,1
3,000014,88____:049::8895208:8892007:10:1532:20220320,Gand-Saint-Pierre,11028,,204,,1
15,000019,88____:049::8896008:8892205:5:725:20220410,Lichtervelde,11028,,205,,1
11,000006,88____:049::8896008:8896388:2:1326:20220408,Bissegem,11028,,206,,1
9,000011,88____:049::8895505:8895802:10:1859:20220327,Denderleeuw,11028,,207,,1
1,000016,88____:049::8896735:8896305:5:724:20220227,Menin,11029,,208,,1
2,000021,88____:049::8892205:8892338:6:1030:20220220,La Panne,11029,,209,,1
14,000018,88____:049::8895802:8895000:3:844:20220306,Alost,11029,,210,,1
3,000003,88____:049::8895208:8892007:10:1932:20220313,Gand-Saint-Pierre,11029,,211,,1
3,000014,88____:049::8895208:8892007:10:1632:20220320,Gand-Saint-Pierre,11029,,212,,1
15,000019,88____:049::8896008:8892205:5:825:20220410,Lichtervelde,11029,,213,,1
11,000006,88____:049::8896008:8896388:2:1426:20220408,Bissegem,11029,,214,,1
9,000011,88____:049::8895505:8895802:10:1959:20220327,Denderleeuw,11029,,215,,1
1,000016,88____:049::8896735:8896305:5:824:20220227,Menin,11030,,216,,1
2,000021,88____:049::8892205:8892338:6:1130:20220220,La Panne,11030,,217,,1
14,000018,88____:049::8895802:8895000:3:944:20220306,Alost,11030,,218,,1
3,000003,88____:049::8895208:8892007:10:2032:20220313,Gand-Saint-Pierre,11030,,219,,1
3,000014,88____:049::8895208:8892007:10:1732:20220320,Gand-Saint-Pierre,11030,,220,,1
15,000019,88____:049::8896008:8892205:5:925:20220410,Lichtervelde,11030,,221,,1
11,000006,88____:049::8896008:8896388:2:1526:20220408,Bissegem,11030,,222,,1
9,000011,88____:049::8895505:8895802:10:2059:20220327,Denderleeuw,11030,,223,,1
1,000016,88____:049::8896735:8896305:5:924:20220227,Menin,11031,,224,,1
2,000021,88____:049::8892205:8892338:6:1230:20220220,La Panne,11031,,225,,1
14,000018,88____:049::8895802:8895000:3:1044:20220306,Alost,11031,,226,,1
3,000003,88____:049::8895208:8892007:10:2132:20220313,Gand-Saint-Pierre,11031,,227,,1
3,000014,88____:049::8895208:8892007:10:1832:20220320,Gand-Saint-Pierre,11031,,228,,1
15,000019,88____:049::8896008:8892205:5:1025:20220410,Lichtervelde,11031,,229,,1
11,000006,88____:049::8896008:8896388:2:1626:20220408,Bissegem,11031,,230,,1
9,000011,88____:049::8895505:8895802:10:2159:20220327,Denderleeuw,11031,,231,,1
1,000016,88____:049::8896735:8896305:5:1024:20220227,Menin,11032,,232,,1
2,000021,88____:049::8892205:8892338:6:1330:20220220,La Panne,11032,,233,,1
14,000018,88____:049::8895802:8895000:3:1144:20220306,Alost,11032,,234,,1
3,000003,88____:049::8895208:8892007:10:2232:20220313,Gand-Saint-Pierre,11032,,235,,1
3,000014,88____:049::8895208:8892007:10:1932:20220320,Gand-Saint-Pierre,11032,,236,,1
15,000019,88____:049::8896008:8892205:5:1125:20220410,Lichtervelde,11032,,237,,1
11,000006,88____:049::8896008:8896388:2:1726:20220408,Bissegem,11032,,238,,1
19,000011,88____:049::8891009:8892205:4:725:20220327,Lichtervelde,11032,,239,,1
1,000016,88____:049::8896735:8896305:5:1124:20220227,Menin,11033,,240,,1
2,000021,88____:049::8892205:8892338:6:1430:20220220,La Panne,11033,,241,,1
14,000018,88____:049::8895802:8895000:3:1244:20220306,Alost,11033,,242,,1
3,000022,88____:049::8895208:8892007:10:2332:20220312,Gand-Saint-Pierre,11033,,243,,1
3,000014,88____:049::8895208:8892007:10:2032:20220320,Gand-Saint-Pierre,11033,,244,,1
